iteration,run_id,candidate_id,proposal_policy,pareto,temperature,max_output_tokens,cpu_model,cores,frequency_ghz,issue_width,l1d_cache_kib,l1d_associativity,l2_cache_kib,l2_associativity,native_latency_ms,proxy_simulated_seconds,estimated_cache_dynamic_energy_uj,answer_quality,answer_quality_loss,throughput_qps,sample_count,sim_ticks,instructions,ipc_per_core,l1d_miss_rate_per_core,l2_miss_rate,software_duration_ms,hardware_duration_ms,energy_scope
1,run-5ee59f66305245d893b61a78b72dd368,fd69a74e3233235103c5804ee5aaec7224b6f8c7567045ec4e04aff7bc9d1f4a,gemini_api,False,0,384,RiscvTimingSimpleCPU,2,4,1,64,8,1024,16,6874.517435997404,0.092272,39329.752500115,0.6666666666666666,0.33333333333333337,0.1605174238923184,3,92271644000,197462665,"[0.289206, 0.246072]","[0.011302, 0.013012]",0.039738,20239.13234000065,657302.6833240001,"Dynamic cache energy for two L1I caches, two L1D caches, and one shared L2 cache. Excludes processor-core logic, DRAM, interconnect, TLB, and static/leakage energy."
2,run-5fd4fb97b40e48f4b398d81b8be1a8f5,69f8f3fc7533fdd7f438c7fa00f69d4dc4385de79fb881d61d4d192867457a8b,gemini_api,False,0.5,384,RiscvO3CPU,2,4,4,64,8,1024,16,5802.814045997366,0.019288,17827.216033585,0.5555555555555555,0.44444444444444453,0.19567207852762689,3,19287773250,197462665,"[1.383752, 1.686203]","[0.043789, 0.049457]",0.040596,16886.646167000436,999037.1904220011,"Dynamic cache energy for two L1I caches, two L1D caches, and one shared L2 cache. Excludes processor-core logic, DRAM, interconnect, TLB, and static/leakage energy."
3,run-fac26176f2094750871467545949b767,8e0f2f293d0013916dc38cc5f03a4a80c6b358bcf885fd935d53f97f30003e2a,gemini_api,False,0.2,256,RiscvO3CPU,2,4,2,64,8,1024,16,6685.076517998823,0.022871,18174.402849401496,0.5555555555555555,0.44444444444444453,0.15252820341457055,3,22870907750,197462665,"[1.166939, 1.348172]","[0.043934, 0.049427]",0.040616,21224.74275499917,1103836.4297080007,"Dynamic cache energy for two L1I caches, two L1D caches, and one shared L2 cache. Excludes processor-core logic, DRAM, interconnect, TLB, and static/leakage energy."
4,run-c8e184f9e5ea4f2495fdf0375ac3485d,4f3a2df833ad4d56fc352a78c91c211b1feae6dc4576d35747cb749d97bfa4a1,gemini_api,True,0,384,RiscvO3CPU,2,4,4,64,8,1024,16,6655.402437001612,0.019288,17827.216033585,0.6666666666666666,0.33333333333333337,0.15830414843811433,3,19287773250,197462665,"[1.383752, 1.686203]","[0.043789, 0.049457]",0.040596,20566.64146700132,1022951.6659480032,"Dynamic cache energy for two L1I caches, two L1D caches, and one shared L2 cache. Excludes processor-core logic, DRAM, interconnect, TLB, and static/leakage energy."
5,run-d314dcc80ca940799df080bd58fabace,27aa3f20a7e1480512b36d2ec4b2fd9933125b44d428f27f2c5c9d0a67b0c600,gemini_api,True,0,128,RiscvO3CPU,2,4,4,64,8,1024,16,3778.099495000788,0.019288,17827.216033585,0.5555555555555555,0.44444444444444453,0.27341154392423284,3,19287773250,197462665,"[1.383752, 1.686203]","[0.043789, 0.049457]",0.040596,12511.264054002822,1093577.5876139996,"Dynamic cache energy for two L1I caches, two L1D caches, and one shared L2 cache. Excludes processor-core logic, DRAM, interconnect, TLB, and static/leakage energy."
6,run-a6e8ed0c41d643bfb546206a5c49f8ca,16aa33ef19c65a2ba038e403035e118c4c4cf7905df895da8c07715e2abf0050,gemini_api,False,0,256,RiscvO3CPU,2,4,4,64,8,1024,16,6810.857374999614,0.019288,17827.216033585,0.6666666666666666,0.33333333333333337,0.17034312637717122,3,19287773250,197462665,"[1.383752, 1.686203]","[0.043789, 0.049457]",0.040596,19174.5122909997,1006069.6849240012,"Dynamic cache energy for two L1I caches, two L1D caches, and one shared L2 cache. Excludes processor-core logic, DRAM, interconnect, TLB, and static/leakage energy."
7,run-56a779951ab84f069669ca9f8dc7010c,c15bdd5739fbb8dd8d187366b6c08e1434f4bae8b65dd300d21f97ba9cb1cd8b,gemini_api,True,0,384,RiscvO3CPU,2,3,4,64,8,1024,16,6755.2888879981765,0.025064,17777.76192241475,0.6666666666666666,0.33333333333333337,0.1607820974157522,3,25064317593,197462665,"[1.418329, 1.738183]","[0.043029, 0.047475]",0.040588,20216.196057997877,988267.2396960006,"Dynamic cache energy for two L1I caches, two L1D caches, and one shared L2 cache. Excludes processor-core logic, DRAM, interconnect, TLB, and static/leakage energy."
8,run-9f87a4d3317c40ac9fe45d7649bfd84f,b900e503b88c7c1447c07cf4e2ddf4fbd816f988761b0a95f52b317e7c716aff,deterministic,True,0,384,RiscvO3CPU,2,1,2,64,4,1024,8,6795.595666997542,0.0854,9136.5186591748,0.6666666666666666,0.33333333333333337,0.1589265580263382,3,85400011000,197462665,"[1.24997, 1.463633]","[0.019377, 0.022789]",0.052387,20452.252146998944,908306.8412789981,"Dynamic cache energy for two L1I caches, two L1D caches, and one shared L2 cache. Excludes processor-core logic, DRAM, interconnect, TLB, and static/leakage energy."
9,run-78d63b34301f4ae9b05a7d3c75594fc9,09f34278a2d5ce288465521e340f08b103dae0615b906274235eb6913892922f,gemini_api,True,0,384,RiscvO3CPU,2,2,4,64,8,1024,16,6768.449334998877,0.036512,17553.1363593175,0.6666666666666666,0.33333333333333337,0.16436948480698407,3,36512039500,197462665,"[1.461868, 1.806845]","[0.035914, 0.042568]",0.040617,19789.708149000944,846496.9274719988,"Dynamic cache energy for two L1I caches, two L1D caches, and one shared L2 cache. Excludes processor-core logic, DRAM, interconnect, TLB, and static/leakage energy."
10,run-46e46ef6d8dc4de5a06dd08445e8488e,93e94993ce63d337a25ccbf21911aa7f6910dc29efc954177c92c260c464017e,gemini_api,True,0,128,RiscvO3CPU,2,1,4,64,8,1024,16,3382.129164001526,0.071254,17192.4196551589,0.5555555555555555,0.44444444444444453,0.30549428032474524,3,71254169000,197462665,"[1.498132, 1.862923]","[0.024474, 0.028801]",0.040585,11376.731183001539,819577.3594010025,"Dynamic cache energy for two L1I caches, two L1D caches, and one shared L2 cache. Excludes processor-core logic, DRAM, interconnect, TLB, and static/leakage energy."
