method,campaign_id,iteration,run_id,candidate_id,status,feasible,campaign_pareto,combined_pareto,proposal_call,proposal_status,proposal_model,random_seed,model,quantization,backend,temperature,max_output_tokens,cpu_threads,batch_size,cpu_model,cores,frequency_ghz,issue_width,l1i_cache_kib,l1i_associativity,l1i_latency_cycles,l1d_cache_kib,l1d_associativity,l1d_latency_cycles,l2_cache_kib,l2_associativity,l2_latency_cycles,memory_type,memory_size_mib,query_heads,kv_heads,head_dimension,context_tokens,kernel_iterations,native_latency_ms,proxy_simulated_seconds,estimated_cache_dynamic_energy_uj,answer_quality_loss,answer_quality,question_count,sample_count,throughput_qps,aggregate_ipc,instructions,sim_ticks,l2_miss_rate,average_dram_access_latency_ns,energy_scope
gemini,confirmatory-250q-gemini38-10-20260922T182341Z,1,run-fd197049e9e34eedbe2a6a47d7983add,afb0d28aeceb40466b9a546e37e4c24bbe68d9e19f86a2c0e3920c34d7d56004,completed,True,False,False,1,accepted,gemini-3.8-flash,,Qwen2.5 0.5B Instruct,Q5_K_M,llama.cpp / CPU,0,128,4,1,RiscvO3CPU,2,3,4,16,2,2,32,4,2,512,8,20,DDR3_1600_8x8,16,14,2,64,512,10,1282.4035564990481,0.025073,8980.47782123608,0.56,0.44,250,250,0.763123247654441,2.6228483214375853,197462665,25072901334,0.039601,29.41159,"Dynamic cache energy for two L1I caches, two L1D caches, and one shared L2 cache. Excludes processor-core logic, DRAM, interconnect, TLB, and static/leakage energy."
gemini,confirmatory-250q-gemini38-10-20260922T182341Z,2,run-a50c85e71b2f498ca03621abe74c39c1,e1555effcfdf2a1d566c7b8b8241544c8ea7177cd6c459c6436c45f7dc0f02bc,completed,True,False,False,2,accepted,gemini-3.8-flash,,Qwen2.5 0.5B Instruct,Q5_K_M,llama.cpp / CPU,0,128,4,1,RiscvTimingSimpleCPU,2,2,1,16,2,2,16,2,2,256,4,20,DDR3_1600_8x8,16,14,2,64,512,10,1360.1118229998974,0.18196,28446.118786947496,0.56,0.44,250,250,0.6963364279567748,0.5425979653230117,197462665,181960381000,0.037081,29.6169,"Dynamic cache energy for two L1I caches, two L1D caches, and one shared L2 cache. Excludes processor-core logic, DRAM, interconnect, TLB, and static/leakage energy."
gemini,confirmatory-250q-gemini38-10-20260922T182341Z,3,run-ca209f830784492a83295d2477390f7e,c12f1db945bd459690a2984198014bd4b9c6a4f83702dfefa884cad869ead419,completed,True,True,True,3,accepted,gemini-3.8-flash,,Qwen2.5 0.5B Instruct,Q5_K_M,llama.cpp / CPU,0.2,128,4,1,RiscvO3CPU,2,4,4,16,2,2,64,8,2,1024,16,20,DDR3_1600_8x8,16,14,2,64,512,10,1265.6671659933636,0.019288,17827.216033585,0.5720000000000001,0.428,250,250,0.7629922664834408,2.5598101565870715,197462665,19287773250,0.040596,29.33386,"Dynamic cache energy for two L1I caches, two L1D caches, and one shared L2 cache. Excludes processor-core logic, DRAM, interconnect, TLB, and static/leakage energy."
gemini,confirmatory-250q-gemini38-10-20260922T182341Z,4,run-8c94c5a0e8da46aa8e02c905ae2cc169,0fb507a72695ecf1999536d42ff2a0feb3ba55bf79cd758623119715521ab1b0,completed,True,True,True,4,accepted,gemini-3.8-flash,,Qwen2.5 0.5B Instruct,Q5_K_M,llama.cpp / CPU,0,128,4,1,RiscvO3CPU,2,4,2,16,2,2,32,4,2,512,8,20,DDR3_1600_8x8,16,14,2,64,512,10,1260.1160670019453,0.022886,9430.439586809,0.56,0.44,250,250,0.7638537806548447,2.1572535201235192,197462665,22886274750,0.039641,29.17991,"Dynamic cache energy for two L1I caches, two L1D caches, and one shared L2 cache. Excludes processor-core logic, DRAM, interconnect, TLB, and static/leakage energy."
gemini,confirmatory-250q-gemini38-10-20260922T182341Z,5,run-88380c57604b437383ecd0108dd93d96,d937238114779f145bd18f6adfeaa8bd0771764b1bf4041441032ed3b473d404,completed,True,True,True,5,accepted,gemini-3.8-flash,,Qwen2.5 0.5B Instruct,Q5_K_M,llama.cpp / CPU,0,128,4,1,RiscvO3CPU,2,4,4,16,2,2,32,4,2,512,8,20,DDR3_1600_8x8,16,14,2,64,512,10,1283.0826400022488,0.019307,9019.41946238025,0.56,0.44,250,250,0.7554223107915143,2.5571739390170034,197462665,19307340250,0.039608,29.392240000000005,"Dynamic cache energy for two L1I caches, two L1D caches, and one shared L2 cache. Excludes processor-core logic, DRAM, interconnect, TLB, and static/leakage energy."
gemini,confirmatory-250q-gemini38-10-20260922T182341Z,6,run-efdaa257e74347c09c4bb564bcf01faa,3fc74460c4c0e77f55758e1e97e61bd67ee8cac2ce5c21be7d7160b276845c2d,completed,True,False,False,6,accepted,gemini-3.8-flash,,Qwen2.5 0.5B Instruct,Q5_K_M,llama.cpp / CPU,0,256,4,1,RiscvO3CPU,2,4,4,16,2,2,32,4,2,512,8,20,DDR3_1600_8x8,16,14,2,64,512,10,1307.1252774971072,0.019307,9019.41946238025,0.56,0.44,250,250,0.7426299118418777,2.5571739390170034,197462665,19307340250,0.039608,29.392240000000005,"Dynamic cache energy for two L1I caches, two L1D caches, and one shared L2 cache. Excludes processor-core logic, DRAM, interconnect, TLB, and static/leakage energy."
gemini,confirmatory-250q-gemini38-10-20260922T182341Z,7,run-98ffa3bfb6744cf98cbe50c620b1db84,2a38d4c524ec54a418a6bb05badece9bfd1ac1c19b918c0452a132d8e2b25f5d,completed,True,True,True,7,accepted,gemini-3.8-flash,,Qwen2.5 0.5B Instruct,Q5_K_M,llama.cpp / CPU,0,128,4,1,RiscvO3CPU,2,4,4,16,2,2,16,4,2,256,4,20,DDR3_1600_8x8,16,14,2,64,512,10,1260.3762749931775,0.019322,8898.6659450061,0.56,0.44,250,250,0.7620165383540679,2.555196203319029,197462665,19322265250,0.03824,29.534740000000003,"Dynamic cache energy for two L1I caches, two L1D caches, and one shared L2 cache. Excludes processor-core logic, DRAM, interconnect, TLB, and static/leakage energy."
gemini,confirmatory-250q-gemini38-10-20260922T182341Z,8,run-2fd56e8fc14e45e299b7ffaef7e4fcb0,6ab534d518fb46d61dd2d0d4be1300be05dfb33176681e922ddd2b4bb3f924ea,completed,True,True,True,8,accepted,gemini-3.8-flash,,Qwen2.5 0.5B Instruct,Q5_K_M,llama.cpp / CPU,0,128,4,1,RiscvO3CPU,2,4,4,16,2,2,16,2,2,256,4,20,DDR3_1600_8x8,16,14,2,64,512,10,1275.9499639942078,0.019344,6553.915450293101,0.56,0.44,250,250,0.7658513506824094,2.5523485490599724,197462665,19343989250,0.037918,29.957110000000004,"Dynamic cache energy for two L1I caches, two L1D caches, and one shared L2 cache. Excludes processor-core logic, DRAM, interconnect, TLB, and static/leakage energy."
gemini,confirmatory-250q-gemini38-10-20260922T182341Z,9,run-dc99e2d885564cf09f79696f6b12c569,588ef56fbc16fa8f5a74c5075ba2357f8bce41b21083cfc93ae367d701bd48b5,completed,True,True,True,9,accepted,gemini-3.8-flash,,Qwen2.5 0.5B Instruct,Q5_K_M,llama.cpp / CPU,0,128,4,1,RiscvO3CPU,2,4,2,16,2,2,16,2,2,256,4,20,DDR3_1600_8x8,16,14,2,64,512,10,1242.816940008197,0.022916,6977.288508254111,0.56,0.44,250,250,0.7925233842945105,2.1545048838712884,197462665,22915631750,0.037938,29.346169999999997,"Dynamic cache energy for two L1I caches, two L1D caches, and one shared L2 cache. Excludes processor-core logic, DRAM, interconnect, TLB, and static/leakage energy."
gemini,confirmatory-250q-gemini38-10-20260922T182341Z,10,run-3d37856db95949b992e9091ba238d371,5a9d53aee150fd0604daaf2c3214b123f273c0dfabe2682499c9e389bf1e0b84,completed,True,False,False,10,accepted,gemini-3.8-flash,,Qwen2.5 0.5B Instruct,Q5_K_M,llama.cpp / CPU,0,128,4,1,RiscvO3CPU,2,4,1,16,2,2,16,2,2,256,4,20,DDR3_1600_8x8,16,14,2,64,512,10,1317.3296690220013,0.03603,7089.171588185431,0.56,0.44,250,250,0.7371160602514675,1.542006273489684,197462665,36029699500,0.025249,30.64755,"Dynamic cache energy for two L1I caches, two L1D caches, and one shared L2 cache. Excludes processor-core logic, DRAM, interconnect, TLB, and static/leakage energy."
